marketplace,campaign_id,campaign_name,date,status,daily_budget,impressions,clicks,sold,ad_fees,sales
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-16,Active,$ 20.00,1553,34,4,14.71,68.17
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-17,Active,£ 40.00,51160,11,1,2.0,5.95
UK,167283803016,GAG2 Multi Listing Priority,2026-08-17,Active,£ 20.00,811,16,4,3.78,19.6
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-17,Active,$ 5.00,126403,19,0,3.52,0.0
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-17,Active,$ 20.00,1697,31,0,16.09,0.0
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-18,Active,£ 40.00,53060,11,2,1.41,8.9
UK,167283803016,GAG2 Multi Listing Priority,2026-08-18,Active,£ 20.00,472,5,1,1.29,5.95
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-18,Active,$ 5.00,83802,28,1,3.99,10.76
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-18,Active,$ 5.00,2235,33,1,13.3,4.28
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-19,Active,£ 40.00,72670,10,1,1.39,5.95
UK,167283803016,GAG2 Multi Listing Priority,2026-08-19,Active,£ 20.00,397,10,4,2.35,8.8
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-19,Active,$ 5.00,89845,29,0,4.64,0.0
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-19,Active,$ 5.00,793,19,4,5.56,17.22
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-20,Active,£ 40.00,65001,10,1,2.33,1.45
UK,167283803016,GAG2 Multi Listing Priority,2026-08-20,Active,£ 20.00,496,16,8,3.4,19.47
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-20,Active,$ 5.00,87966,24,0,3.63,0.0
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-20,Active,$ 5.00,856,13,1,3.37,2.46
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-21,Active,£ 40.00,57645,14,1,2.61,4.25
UK,167283803016,GAG2 Multi Listing Priority,2026-08-21,Active,£ 20.00,561,13,1,2.4,2.95
